date, awayTeam, homeTeam, homeWin, spread, ou, hWRCL, hWRCR, hFRM, hOAA, hBsR, hHand, hSpxFIP, hRpxFIP, hSpIperG, aWRCL, aWRCR, aFRM, aOAA, aBsR, aHand, aSpxFIP, aRpxFIP, aSpIperG
2021-05-10,CIN,PIT,0,-13,15,69,83,7.2,-8.0,-3.9,1,5.08,4.67,4.006,66,101,1.4,-36.0,-15.1,1,3.61,4.34,5.011
2021-05-10,TEX,SFG,1,2,4,101,96,5.5,27.0,-6.4,-1,2.88,4.2,5.75,92,103,16.7,28.0,-1.8,1,3.94,4.43,5.862
2021-05-10,BOS,BAL,1,3,5,101,70,-21.3,-33.0,-6.2,1,4.43,4.76,4.339,106,108,0.4,-39.0,-4.4,-1,4.55,4.23,4.678
2021-05-11,MIA,ARI,1,8,14,123,83,-2.6,-14.0,6.6,-1,4.33,4.98,5.152,96,81,1.7,-11.0,0.4,1,3.55,4.29,5.581
2021-05-11,TOR,ATL,0,-2,8,49,104,-0.4,5.0,5.4,1,6.07,4.36,4.0,94,90,5.0,-13.0,2.8,-1,3.94,4.22,5.613
2021-05-11,SDP,COL,0,-7,9,81,71,0.7,1.0,12.4,1,4.5,4.63,4.844,85,89,-2.7,14.0,0.7,1,3.24,4.18,2.0
2021-05-11,SEA,LAD,1,2,10,79,116,4.4,-13.0,9.3,1,3.07,4.07,6.172,79,88,-4.8,-7.0,-7.1,-1,3.62,4.18,6.178
2021-05-11,BAL,NYM,1,1,5,114,91,2.2,24.0,-13.5,1,3.26,4.15,4.862,99,73,-21.3,-33.0,-6.2,-1,3.53,4.76,6.571
2021-05-11,CIN,PIT,1,5,9,69,82,7.2,-8.0,-3.9,1,3.18,4.67,5.339,66,106,1.4,-36.0,-15.1,1,4.67,4.34,4.344
2021-05-11,TEX,SFG,1,2,6,101,95,5.5,27.0,-6.4,1,3.56,4.2,5.167,91,102,16.7,28.0,-1.8,1,5.08,4.43,4.714
2021-05-11,PHI,WSN,0,-4,8,104,79,-6.8,-27.0,-25.4,1,4.21,4.75,4.506,90,79,6.2,-20.0,7.8,1,5.5,4.27,4.333
2021-05-11,OAK,BOS,0,-1,5,104,104,0.4,-39.0,-4.4,1,3.34,4.23,5.571,106,89,9.0,20.0,11.8,1,3.82,4.69,5.862
2021-05-11,MIN,CHW,1,6,12,129,97,-13.4,-10.0,-0.9,1,3.64,3.83,5.006,102,100,5.9,5.0,-3.1,1,3.82,4.27,4.678
2021-05-11,CHC,CLE,1,1,5,75,86,2.2,20.0,7.4,1,2.46,3.96,6.862,97,86,-4.3,11.0,-8.6,1,3.48,4.26,5.2
2021-05-12,TOR,ATL,0,-3,5,53,103,-0.4,5.0,5.4,-1,3.9,4.36,4.0,97,89,5.0,-13.0,2.8,-1,3.2,4.22,5.344
2021-05-12,SDP,COL,0,-2,8,79,69,0.7,1.0,12.4,1,3.92,4.63,5.719,85,91,-2.7,14.0,0.7,1,3.63,4.18,6.152
2021-05-12,SDP,COL,1,1,5,79,69,0.7,1.0,12.4,-1,4.75,4.63,4.857,85,91,-2.7,14.0,0.7,-1,3.68,4.18,4.29
2021-05-12,SEA,LAD,1,6,8,81,117,4.4,-13.0,9.3,-1,3.35,4.07,6.01,77,87,-4.8,-7.0,-7.1,1,6.29,4.18,5.013
2021-05-12,STL,MIL,1,3,5,110,68,12.5,-18.0,8.5,1,2.84,4.05,5.867,123,84,-7.9,49.0,11.7,1,5.35,4.65,4.839
2021-05-12,BAL,NYM,1,6,8,110,92,2.2,24.0,-13.5,1,4.03,4.15,5.667,98,72,-21.3,-33.0,-6.2,1,4.69,4.76,5.0
2021-05-12,CIN,PIT,0,-4,6,70,84,7.2,-8.0,-3.9,1,3.64,4.67,4.839,66,105,1.4,-36.0,-15.1,1,3.05,4.34,5.017
2021-05-12,PHI,WSN,0,-3,7,104,78,-6.8,-27.0,-25.4,-1,4.41,4.75,5.0,91,81,6.2,-20.0,7.8,1,3.29,4.27,6.724
2021-05-12,MIN,CHW,1,5,21,133,98,-13.4,-10.0,-0.9,-1,4.61,3.83,5.429,98,101,5.9,5.0,-3.1,-1,5.48,4.27,5.607
2021-05-12,KCR,DET,1,2,6,35,86,-13.0,-16.0,1.2,1,4.82,4.69,5.344,71,93,-17.3,23.0,13.2,-1,3.8,4.5,5.844
2021-05-12,LAA,HOU,1,8,10,108,106,0.8,42.0,-6.2,1,4.94,4.19,5.857,91,105,3.9,-24.0,6.8,-1,2.81,4.38,5.011
2021-05-13,MIA,ARI,0,-4,6,120,88,-2.6,-14.0,6.6,1,4.9,4.98,5.433,88,85,1.7,-11.0,0.4,-1,3.55,4.29,5.429
2021-05-13,TOR,ATL,0,-4,12,53,102,-0.4,5.0,5.4,1,3.66,4.36,4.862,90,91,5.0,-13.0,2.8,1,4.97,4.22,4.008
2021-05-13,STL,MIL,0,-2,2,108,69,12.5,-18.0,8.5,1,1.28,4.05,5.807,123,82,-7.9,49.0,11.7,1,3.86,4.65,5.862
2021-05-13,SFG,PIT,0,-2,4,68,82,7.2,-8.0,-3.9,1,5.28,4.67,5.0,100,94,5.5,27.0,-6.4,1,3.65,4.2,5.862
2021-05-13,PHI,WSN,1,4,6,105,77,-6.8,-27.0,-25.4,-1,5.49,4.75,4.839,95,81,6.2,-20.0,7.8,1,3.31,4.27,6.433
2021-05-13,OAK,BOS,1,7,9,102,100,0.4,-39.0,-4.4,1,4.09,4.23,5.01,109,85,9.0,20.0,11.8,-1,3.55,4.69,5.857
2021-05-13,MIN,CHW,1,2,6,147,99,-13.4,-10.0,-0.9,1,3.7,3.83,5.813,101,102,5.9,5.0,-3.1,1,3.84,4.27,5.506
2021-05-13,KCR,DET,1,1,7,41,85,-13.0,-16.0,1.2,1,4.8,4.69,4.75,69,91,-17.3,23.0,13.2,-1,6.84,4.5,2.517
2021-05-13,TEX,HOU,1,1,7,114,105,0.8,42.0,-6.2,1,4.22,4.19,5.167,90,100,16.7,28.0,-1.8,1,4.49,4.43,5.714
2021-05-13,NYY,TBR,1,8,10,80,91,5.1,32.0,11.2,-1,4.06,3.98,4.433,113,87,3.0,-22.0,-15.1,1,3.93,3.78,4.678
2021-05-14,WSN,ARI,0,-15,19,113,87,-2.6,-14.0,6.6,1,5.01,4.98,4.75,103,78,-6.8,-27.0,-25.4,1,3.06,4.75,6.576
2021-05-14,CIN,COL,1,3,15,89,71,0.7,1.0,12.4,1,4.27,4.63,4.879,73,104,1.4,-36.0,-15.1,-1,3.41,4.34,6.0
2021-05-14,MIA,LAD,1,3,15,82,117,4.4,-13.0,9.3,-1,3.35,4.07,5.508,88,86,1.7,-11.0,0.4,1,3.72,4.29,6.133
2021-05-14,ATL,MIL,0,-3,9,106,69,12.5,-18.0,8.5,1,3.29,4.05,5.152,56,100,-0.4,5.0,5.4,-1,5.55,4.36,5.0
2021-05-14,STL,SDP,1,1,9,82,89,-2.7,14.0,0.7,1,2.42,4.18,5.571,123,81,-7.9,49.0,11.7,1,4.52,4.65,4.5
2021-05-14,NYY,BAL,0,-1,9,98,71,-21.3,-33.0,-6.2,1,4.59,4.76,4.333,108,87,3.0,-22.0,-15.1,1,4.43,3.78,5.005
